is_delegated_op,event_block_name,event_name,p10 (ms),p50 (ms),p90 (ms),avg (ms),min (ms),max (ms),op_types,delegate_debug_identifier,delegate_backend_name,start_time
True,Execute,"Fully Connected (NC, F32) GEMM #21",0.1269999999999989,0.1269999999999989,0.1269999999999989,0.1269999999999989,0.1269999999999989,0.1269999999999989,[],"Fully Connected (NC, F32) GEMM #21",XnnpackBackend,[23709192]
True,Execute,"Fully Connected (NC, F32) GEMM #22",0.1479999999999997,0.1479999999999997,0.1479999999999997,0.1479999999999997,0.1479999999999997,0.1479999999999997,[],"Fully Connected (NC, F32) GEMM #22",XnnpackBackend,[23836192]
True,Execute,"Convolution (NHWC, F32) DWConv #12",0.16400000000000148,0.16400000000000148,0.16400000000000148,0.16400000000000148,0.16400000000000148,0.16400000000000148,[],"Convolution (NHWC, F32) DWConv #12",XnnpackBackend,[23984192]
True,Execute,"Fully Connected (NC, F32) GEMM #23",0.16599999999999682,0.16599999999999682,0.16599999999999682,0.16599999999999682,0.16599999999999682,0.16599999999999682,[],"Fully Connected (NC, F32) GEMM #23",XnnpackBackend,[24148192]
True,Execute,Add (ND) #7,0.14700000000000202,0.14700000000000202,0.14700000000000202,0.14700000000000202,0.14700000000000202,0.14700000000000202,[],Add (ND) #7,XnnpackBackend,[24314192]
True,Execute,"Fully Connected (NC, F32) GEMM #24",0.18700000000000117,0.18700000000000117,0.18700000000000117,0.18700000000000117,0.18700000000000117,0.18700000000000117,[],"Fully Connected (NC, F32) GEMM #24",XnnpackBackend,[24461192]
True,Execute,"Convolution (NHWC, F32) DWConv #13",0.14299999999999713,0.14299999999999713,0.14299999999999713,0.14299999999999713,0.14299999999999713,0.14299999999999713,[],"Convolution (NHWC, F32) DWConv #13",XnnpackBackend,[24648192]
True,Execute,"Fully Connected (NC, F32) GEMM #25",0.13400000000000034,0.13400000000000034,0.13400000000000034,0.13400000000000034,0.13400000000000034,0.13400000000000034,[],"Fully Connected (NC, F32) GEMM #25",XnnpackBackend,[24791192]
True,Execute,Add (ND) #8,0.11100000000000065,0.11100000000000065,0.11100000000000065,0.11100000000000065,0.11100000000000065,0.11100000000000065,[],Add (ND) #8,XnnpackBackend,[24925192]
True,Execute,"Fully Connected (NC, F32) GEMM #26",0.1819999999999986,0.1819999999999986,0.1819999999999986,0.1819999999999986,0.1819999999999986,0.1819999999999986,[],"Fully Connected (NC, F32) GEMM #26",XnnpackBackend,[25036192]
True,Execute,"Convolution (NHWC, F32) DWConv #14",0.15100000000000335,0.15100000000000335,0.15100000000000335,0.15100000000000335,0.15100000000000335,0.15100000000000335,[],"Convolution (NHWC, F32) DWConv #14",XnnpackBackend,[25218192]
True,Execute,"Fully Connected (NC, F32) GEMM #27",0.1789999999999985,0.1789999999999985,0.1789999999999985,0.1789999999999985,0.1789999999999985,0.1789999999999985,[],"Fully Connected (NC, F32) GEMM #27",XnnpackBackend,[25369192]
True,Execute,"Fully Connected (NC, F32) GEMM #28",0.20899999999999963,0.20899999999999963,0.20899999999999963,0.20899999999999963,0.20899999999999963,0.20899999999999963,[],"Fully Connected (NC, F32) GEMM #28",XnnpackBackend,[25548192]
True,Execute,"Convolution (NHWC, F32) DWConv #15",0.13599999999999923,0.13599999999999923,0.13599999999999923,0.13599999999999923,0.13599999999999923,0.13599999999999923,[],"Convolution (NHWC, F32) DWConv #15",XnnpackBackend,[25757192]
True,Execute,"Fully Connected (NC, F32) GEMM #29",0.17300000000000182,0.17300000000000182,0.17300000000000182,0.17300000000000182,0.17300000000000182,0.17300000000000182,[],"Fully Connected (NC, F32) GEMM #29",XnnpackBackend,[25893192]
True,Execute,Add (ND) #9,0.09399999999999764,0.09399999999999764,0.09399999999999764,0.09399999999999764,0.09399999999999764,0.09399999999999764,[],Add (ND) #9,XnnpackBackend,[26066192]
True,Execute,"Fully Connected (NC, F32) GEMM #30",0.15700000000000003,0.15700000000000003,0.15700000000000003,0.15700000000000003,0.15700000000000003,0.15700000000000003,[],"Fully Connected (NC, F32) GEMM #30",XnnpackBackend,[26160192]
True,Execute,"Convolution (NHWC, F32) DWConv #16",0.1650000000000027,0.1650000000000027,0.1650000000000027,0.1650000000000027,0.1650000000000027,0.1650000000000027,[],"Convolution (NHWC, F32) DWConv #16",XnnpackBackend,[26317192]
True,Execute,"Fully Connected (NC, F32) GEMM #31",0.13100000000000023,0.13100000000000023,0.13100000000000023,0.13100000000000023,0.13100000000000023,0.13100000000000023,[],"Fully Connected (NC, F32) GEMM #31",XnnpackBackend,[26482192]
True,Execute,Add (ND) #10,0.08599999999999852,0.08599999999999852,0.08599999999999852,0.08599999999999852,0.08599999999999852,0.08599999999999852,[],Add (ND) #10,XnnpackBackend,[26613192]
True,Execute,"Fully Connected (NC, F32) GEMM #32",0.11400000000000077,0.11400000000000077,0.11400000000000077,0.11400000000000077,0.11400000000000077,0.11400000000000077,[],"Fully Connected (NC, F32) GEMM #32",XnnpackBackend,[26699192]
True,Execute,"Convolution (NHWC, F32) DWConv #17",0.08800000000000097,0.08800000000000097,0.08800000000000097,0.08800000000000097,0.08800000000000097,0.08800000000000097,[],"Convolution (NHWC, F32) DWConv #17",XnnpackBackend,[26813192]
True,Execute,"Fully Connected (NC, F32) GEMM #33",0.21399999999999864,0.21399999999999864,0.21399999999999864,0.21399999999999864,0.21399999999999864,0.21399999999999864,[],"Fully Connected (NC, F32) GEMM #33",XnnpackBackend,[26901192]
True,Execute,"Fully Connected (NC, F32) GEMM #34",0.3230000000000004,0.3230000000000004,0.3230000000000004,0.3230000000000004,0.3230000000000004,0.3230000000000004,[],"Fully Connected (NC, F32) GEMM #34",XnnpackBackend,[27115192]
True,Execute,Mean (ND) Reduce2 #1,0.006000000000000227,0.006000000000000227,0.006000000000000227,0.006000000000000227,0.006000000000000227,0.006000000000000227,[],Mean (ND) Reduce2 #1,XnnpackBackend,[27438192]
True,Execute,"Transpose (ND, X32) #2",0.0009999999999976694,0.0009999999999976694,0.0009999999999976694,0.0009999999999976694,0.0009999999999976694,0.0009999999999976694,[],"Transpose (ND, X32) #2",XnnpackBackend,[27444192]
False,Execute,DELEGATE_CALL,12.633942,12.633942,12.633942,12.633942,12.633942,12.633942,"['aten.convolution.default', 'aten._native_batch_norm_legit_no_training.default' ... 'aten.mean.dim'] (202 total)",,XnnpackBackend,[14886907]
False,Execute,native_call__clone_dim_order.out,0.011921,0.011921,0.011921,0.011921,0.011921,0.011921,['dim_order_ops._clone_dim_order.default'],,,[27523458]
False,Execute,OPERATOR_CALL,0.01259,0.01259,0.01259,0.01259,0.01259,0.01259,['dim_order_ops._clone_dim_order.default'],,,[27522963]
True,Execute,"Fully Connected (NC, F32) GEMM #1",0.2539999999999978,0.2539999999999978,0.2539999999999978,0.2539999999999978,0.2539999999999978,0.2539999999999978,[],"Fully Connected (NC, F32) GEMM #1",XnnpackBackend,[27542411]
False,Execute,DELEGATE_CALL,0.2672,0.2672,0.2672,0.2672,0.2672,0.2672,['aten.linear.default'],,XnnpackBackend,[27535747]
False,Execute,Method::execute,12.917418,12.917418,12.917418,12.917418,12.917418,12.917418,[],,,[14886396]
